carrier_name,dot_number,safety_rating,insurance_status,total_inspections,out_of_service_pct,last_inspection_date
Webbfort Express LLC,100001,Satisfactory,Lapsed,86,7.2,06-Feb-24
Morenoberg Carriers LLC,100002,Satisfactory,Active,128,8.4,18-Feb-25
New Sally Haulage LLC,100003,Satisfactory,Active,46,16.1,08-Mar-24
Timothytown Logistics LLC,100004,Satisfactory,Active,71,2.9,07-Oct-24
Lake Kathryn Express LLC,100005,Unsatisfactory,Active,75,40,29-Mar-24
Moorechester Logistics LLC,100006,Satisfactory,Active,104,5.8,14-Aug-24
Lake Matthewfurt Carriers LLC,100007,Conditional,Active,79,18.8,23-Sep-24
Port Tracyhaven Transport LLC,100008,Satisfactory,Active,144,3.5,10-Feb-25
Richardville Transport LLC,100009,Conditional,Active,116,20.4,22-Feb-25
Danatown Haulage LLC,100010,Satisfactory,Active,172,3.2,17-Feb-24
Lydiaton Haulage LLC,100011,Conditional,Active,58,18,08-Jul-24
Douglasville Express LLC,100012,Satisfactory,Active,87,7.6,03-Apr-24
Port Michealhaven Logistics LLC,100013,Conditional,Active,75,20.2,09-Jan-25
Victoriamouth Haulage LLC,100014,Conditional,Active,84,15.7,11-Sep-24
New Sean Freight LLC,100015,Satisfactory,Active,135,2.2,15-Feb-24
Sheriton Express LLC,100016,Satisfactory,Active,140,9.8,14-Jun-25
Joshuaburgh Transport LLC,100017,Conditional,Active,48,14.8,04-Jul-25
East Brendanland Haulage LLC,100018,Satisfactory,Active,137,11.8,26-Sep-24
West Lisatown Express LLC,100019,Satisfactory,Active,137,2.9,29-Sep-24
North Paul Haulage LLC,100020,Unsatisfactory,Lapsed,46,29.4,20-May-24
Johntown Express LLC,100021,Satisfactory,Active,171,6.4,27-Apr-24
Mckeeville Logistics LLC,100022,Satisfactory,Active,150,5.9,05-Jul-25
Garciafurt Freight LLC,100023,Satisfactory,Lapsed,171,10.8,12-May-25
Richardsonhaven Transport LLC,100024,Conditional,Active,70,15.3,22-Apr-25
East Jennaburgh Haulage LLC,100025,Satisfactory,Active,179,6.8,05-Jan-25
Lake Jeremiahland Carriers LLC,100026,Conditional,Active,67,23.4,05-Feb-25
Erictown Haulage LLC,100027,Unsatisfactory,Lapsed,44,38.4,12-Jul-25
Jenniferport Express LLC,100028,Satisfactory,Active,167,3.3,08-Mar-25
North Wesleybury Haulage LLC,100029,Satisfactory,Active,79,6.3,16-Jun-24
North Katherinefort Freight LLC,100030,Conditional,Active,49,22.4,26-Jan-24
New Kelly Express LLC,100031,Satisfactory,Active,138,10.9,02-Feb-25
Mendozaton Haulage LLC,100032,Satisfactory,Active,92,2.3,23-Mar-25
New Jonathan Haulage LLC,100033,Satisfactory,Active,73,10.2,14-Jan-24
Port Pamelaville Transport LLC,100034,Satisfactory,Lapsed,141,5.3,13-Apr-24
East Rebecca Logistics LLC,100035,Satisfactory,Active,122,2.5,24-May-24
Andrewland Carriers LLC,100036,Satisfactory,Active,84,10.3,13-Apr-25
Campbellview Express LLC,100037,Satisfactory,Active,71,11.9,08-Feb-25
Reneeview Logistics LLC,100038,Unsatisfactory,Active,39,26,16-Jul-24
East Christopherburgh Haulage LLC,100039,Satisfactory,Active,140,6.5,06-Aug-24
Weissburgh Transport LLC,100040,Satisfactory,Lapsed,176,10.3,23-May-25
Hallshire Haulage LLC,100041,Conditional,Active,120,20.5,10-Jul-24
Jenniferberg Logistics LLC,100042,Satisfactory,Active,119,12,17-Feb-24
Dawnville Freight LLC,100043,Conditional,Active,72,19,08-Feb-24
East Ronald Logistics LLC,100044,Satisfactory,Active,84,6.4,03-Dec-24
Scottbury Transport LLC,100045,Unsatisfactory,Active,79,32.9,01-Jan-25
East Christopher Logistics LLC,100046,Satisfactory,Active,146,10.8,04-Jan-24
Martinton Haulage LLC,100047,Satisfactory,Lapsed,127,10.4,11-Dec-24
Cantuport Freight LLC,100048,Conditional,Active,78,15.8,27-Aug-24
South Jamie Express LLC,100049,Conditional,Active,54,21.2,07-Jan-25
Thompsonberg Haulage LLC,100050,Conditional,Active,61,24.1,12-Jul-24
