id,country,vendor_inco_term,shipment_mode,scheduled_delivery_date,delivered_to_client_date,vendor,line_item_quantity,line_item_value,weight_kgs,freight_cost_usd,line_item_insurance_usd
1,CÙte d'Ivoire,EXW,Air,02-Jun-06,02-Jun-06,RANBAXY Fine Chemicals LTD.,19,551,13,780.34,
3,Vietnam,EXW,Air,14-Nov-06,14-Nov-06,Aurobindo Pharma Limited,1000,6200,358,4521.5,
4,CÙte d'Ivoire,FCA,Air,27-Aug-06,27-Aug-06,Abbott GmbH & Co. KG,500,40000,171,1653.78,
15,Vietnam,EXW,Air,01-Sep-06,01-Sep-06,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),31920,127360.8,1855,16007.06,
16,Vietnam,EXW,Air,11-Aug-06,11-Aug-06,Aurobindo Pharma Limited,38000,121600,7590,45450.08,
23,Nigeria,EXW,Air,28-Sep-06,28-Sep-06,Aurobindo Pharma Limited,416,2225.6,504,5920.42,
44,Zambia,DDU,Air,08-Jan-07,08-Jan-07,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),135,4374,328,,
45,Tanzania,EXW,Air,24-Nov-06,24-Nov-06,Aurobindo Pharma Limited,16667,60834.55,1478,6212.41,
46,Nigeria,EXW,Air,07-Dec-06,07-Dec-06,Aurobindo Pharma Limited,273,532.35,,,
47,Zambia,CIP,Air,30-Jan-07,30-Jan-07,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2800,115080,643,,
60,Zambia,CIP,Air,16-Feb-07,16-Feb-07,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2800,115080,643,,
61,Zambia,EXW,Air,08-Jan-07,08-Jan-07,"Trinity Biotech, Plc",2500,100000,853,13569.49,
62,Nigeria,EXW,Air,10-Jan-07,10-Jan-07,EY Laboratories,10,850,,,
64,Rwanda,EXW,Air,27-Feb-07,27-Feb-07,CIPLA LIMITED,10000,99800,7416,64179.42,
65,Haiti,EXW,Air,18-Jan-07,18-Jan-07,Abbott GmbH & Co. KG,750,60000,256,1760.32,
68,Zimbabwe,CIP,Air,19-Mar-07,19-Mar-07,BRISTOL-MYERS SQUIBB,579,14764.5,,,
69,Nigeria,CIP,N/A,07-May-07,07-May-07,ACCOUN NIGERIA LIMITED,1500,120000,,,192
80,Rwanda,EXW,Air,29-Mar-07,29-Mar-07,Premier Medical Corporation Ltd.,2000,33000,710,3120.7,
87,Tanzania,CIP,Air,06-Jun-07,06-Jun-07,BRISTOL-MYERS SQUIBB,712,8964.08,162,912.96,
92,Nigeria,EXW,Air,19-Jun-07,19-Jun-07,Abbott GmbH & Co. KG,1000,80000,341,2682.47,128
96,Nigeria,EXW,Air,19-Jun-07,19-Jun-07,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",7500,202500,2278,15893.71,
108,CÙte d'Ivoire,CIP,Air,02-Oct-07,02-Oct-07,BRISTOL-MYERS SQUIBB,5513,140581.5,2126,,224.93
115,Vietnam,EXW,Air,15-Oct-07,15-Oct-07,Aurobindo Pharma Limited,1000,1920,941,4193.49,3.07
116,Vietnam,FCA,Air,27-Aug-07,27-Aug-07,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),500,41095,117,1767.38,65.75
130,Haiti,EXW,Air,13-Aug-07,21-Aug-07,"Orgenics, Ltd",750,53992.5,171,3518.38,86.39
134,Haiti,EXW,Air,25-Aug-07,25-Aug-07,Orasure Technologies Inc.,25,8750,60,3097.85,14
138,Tanzania,EXW,Air,16-Oct-07,16-Oct-07,"Standard Diagnostics, Inc.",10000,200000,3335,27869.74,320
139,Tanzania,EXW,Air,22-Nov-07,22-Nov-07,"Standard Diagnostics, Inc.",10000,200000,3335,28461.1,320
140,Tanzania,EXW,Air,22-Nov-07,22-Nov-07,"Standard Diagnostics, Inc.",10000,200000,3335,28359.8,320
161,Ethiopia,EXW,Air,20-Nov-07,20-Nov-07,Aurobindo Pharma Limited,64000,99200,4228,12237.61,158.72
176,Nigeria,EXW,Air,03-Oct-07,03-Oct-07,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",10000,270000,3263,20885.78,432
262,South Africa,DDP,N/A,29-Jan-08,29-Jan-08,"JSI R&T INSTITUTE, INC.",40,317.6,,,0.51
269,Vietnam,EXW,Air,21-Jan-08,21-Jan-08,"GILEAD SCIENCES IRELAND, INC.",1000,17000,76,2282.57,27.2
270,Vietnam,EXW,Air,21-Jan-08,21-Jan-08,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),400,3352,23,2149.05,5.36
284,Rwanda,EXW,Air,31-Jan-08,31-Jan-08,"Orgenics, Ltd",1500,15,99,0.75,0.02
305,Nigeria,EXW,Air,05-Feb-08,05-Feb-08,"Orgenics, Ltd",650,6.5,,,0.01
343,South Africa,DDP,N/A,21-Jan-08,04-Jan-08,"JSI R&T INSTITUTE, INC.",200,340,,,0.54
361,Haiti,EXW,Air,18-Feb-08,18-Feb-08,"Trinity Biotech, Plc",2,278,,,0.44
391,CÙte d'Ivoire,EXW,Air,17-Jun-08,17-Jun-08,BIO-RAD LABORATORIES (FRANCE),476,36176,509,5446.51,57.88
392,CÙte d'Ivoire,EXW,Air,19-Mar-09,19-Mar-09,"Standard Diagnostics, Inc.",659,13180,206,2656.12,25.83
398,Guyana,EXW,Air,09-Apr-08,01-Apr-08,"Orgenics, Ltd",240,2.4,,,0
399,Guyana,EXW,Air,28-Jul-08,28-Jul-08,"Orgenics, Ltd",213,2.13,14,360,0
400,Ethiopia,DDP,N/A,11-Mar-08,11-Mar-08,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,63,13399.25,,,21.44
410,Zimbabwe,EXW,Air,17-Nov-08,17-Nov-08,"Orgenics, Ltd",1634,117631.66,373,4112.46,188.21
411,Nigeria,EXW,Air,17-Apr-08,17-Apr-08,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",1425,38475,483,5468.88,61.56
414,Namibia,EXW,Air,04-Jun-08,04-Jun-08,"Orgenics, Ltd",142,10222.58,33,1715.17,16.36
420,Vietnam,EXW,Air,03-Jun-08,03-Jun-08,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),8400,96432,654,4051.34,154.29
422,South Africa,DDP,Truck,24-Apr-08,24-Apr-08,S. BUYS WHOLESALER,6,405.06,,,0.65
423,South Africa,DDP,Truck,24-Apr-08,24-Apr-08,S. BUYS WHOLESALER,600,870,,,1.39
438,Vietnam,CIP,Air,12-Jul-08,12-Jul-08,BRISTOL-MYERS SQUIBB,400,2800,81,2211.05,4.48
459,South Africa,DDP,N/A,25-Apr-08,07-Apr-08,S. BUYS WHOLESALER,6,77.1,,,0.12
464,Nigeria,EXW,Air,09-Jul-08,09-Jul-08,"Orgenics, Ltd",5498,439785.02,1251,16090.22,703.66
465,Nigeria,EXW,Air,09-Jul-08,04-Jul-08,"Orgenics, Ltd",5498,54.98,,,0.09
466,Ethiopia,DDP,Air,09-May-08,09-May-08,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,15,691.42,,,1.11
530,Vietnam,EXW,Air,19-Sep-08,19-Sep-08,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1344,18359.04,1537,13507.92,29.37
531,South Africa,DDP,Truck,20-Aug-08,20-Aug-08,S. BUYS WHOLESALER,20,103.4,,,0.2
532,South Africa,DDP,Truck,20-Aug-08,08-May-08,S. BUYS WHOLESALER,100,1906,,,3.05
533,South Africa,DDP,Truck,20-Aug-08,08-May-08,S. BUYS WHOLESALER,670,1025.1,,,1.64
535,Tanzania,CIP,Air,02-Sep-08,02-Sep-08,BRISTOL-MYERS SQUIBB,2597,61470.99,117,645.1,98.35
543,Haiti,EXW,Air,30-Sep-08,30-Sep-08,Orasure Technologies Inc.,28,9800,109,782.13,15.68
551,Haiti,EXW,Air,24-Nov-08,24-Nov-08,"Trinity Biotech, Plc",84,11676,54,871.57,22.88
598,South Africa,DDP,Truck,12-Jun-08,09-Jun-08,S. BUYS WHOLESALER,30,1049.4,,,1.68
610,Vietnam,EXW,Air,19-Sep-08,19-Sep-08,Aurobindo Pharma Limited,38640,92736,2719,18614.72,148.38
630,Nigeria,EXW,Air,25-Feb-09,09-Sep-08,IDA FOUNDATION,34,1547.68,115,1755.87,2.48
637,Vietnam,EXW,Air,08-Oct-08,08-Oct-08,Aurobindo Pharma Limited,42000,60900,2600,10179.16,97.44
646,South Africa,DDP,Truck,10-Jul-08,08-Jul-08,S. BUYS WHOLESALER,50,696.5,,,1.11
660,Vietnam,EXW,Air,27-Nov-08,27-Nov-08,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),16800,171192,1224,4686.88,335.54
668,Guyana,CIP,Air,15-Aug-08,15-Aug-08,ZEPHYR BIOMEDICALS,98,3675,34,180,5.88
670,Zambia,EXW,Air,20-Oct-08,20-Oct-08,"Orgenics, Ltd",4500,323955,1053,11062.05,634.95
712,Namibia,EXW,Air,18-Sep-08,18-Sep-08,"Trinity Biotech, Plc",10,320,,,0.51
717,CÙte d'Ivoire,EXW,Air,02-Oct-08,02-Oct-08,BIO-RAD LABORATORIES (FRANCE),500,38000,562,11298.13,60.8
719,CÙte d'Ivoire,EXW,Air,23-Jan-09,23-Jan-09,IDA FOUNDATION,25000,9750,1708,12830.91,19.11
772,Nigeria,CIP,Air,10-Mar-09,08-Apr-09,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),9,453.6,,,0.89
791,Namibia,EXW,Air,29-Oct-08,29-Oct-08,"Orgenics, Ltd",150,10798.5,46,2698.04,21.17
796,Botswana,EXW,Air,28-Nov-08,28-Nov-08,"Trinity Biotech, Plc",15,450,1,578.01,0.88
797,Zambia,EXW,Air,23-Jan-09,23-Jan-09,"Standard Diagnostics, Inc.",319,6380,100,1122.24,12.5
835,South Africa,DDP,Truck,17-May-09,09-Oct-08,S. BUYS WHOLESALER,80,1830.4,,,3.59
836,South Africa,DDP,Truck,17-May-09,17-May-09,S. BUYS WHOLESALER,120,2745.6,,,5.38
837,South Africa,DDP,Truck,17-May-09,09-Oct-08,S. BUYS WHOLESALER,600,858,,,1.68
838,South Africa,DDP,Truck,17-May-09,09-Oct-08,S. BUYS WHOLESALER,7,91.35,,,0.18
839,South Africa,DDP,Truck,17-May-09,09-Oct-08,S. BUYS WHOLESALER,40,1375.6,,,2.7
849,Guyana,CIP,Air,06-Feb-09,06-Feb-09,ZEPHYR BIOMEDICALS,108,4050,,,7.94
858,Tanzania,CIP,Air,21-Apr-09,21-Apr-09,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),50000,2520000,4093,9339,4939.2
914,CÙte d'Ivoire,EXW,Air,02-Mar-09,02-Mar-09,IDA FOUNDATION,140,2731.4,5209,25405.22,5.35
937,Mozambique,EXW,Air,23-Mar-09,23-Mar-09,"Trinity Biotech, Plc",5700,182400,1906,23914.8,357.5
960,Vietnam,EXW,Air,10-Apr-09,10-Apr-09,Aurobindo Pharma Limited,5964,51350.04,3509,12835.2,100.65
961,Vietnam,EXW,Air,10-Apr-09,10-Apr-09,Aurobindo Pharma Limited,21000,50400,,,98.78
962,Vietnam,EXW,Air,23-Mar-09,23-Mar-09,CIPLA LIMITED,10560,72864,924,4225.93,142.81
979,Vietnam,EXW,Air,16-Mar-09,16-Mar-09,Aurobindo Pharma Limited,2352,20250.72,211,892.5,39.69
985,Tanzania,FCA,Air,28-May-09,28-May-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),524,21536.4,644,6668.61,42.21
986,Tanzania,FCA,Air,04-May-09,04-May-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2094,21526.32,237,,42.19
993,Rwanda,EXW,Air,28-Apr-09,28-Apr-09,Premier Medical Corporation Ltd.,8249,185602.5,2800,12595.81,363.78
1037,Nigeria,CIP,Air,30-Sep-09,30-Sep-09,BRISTOL-MYERS SQUIBB,200,4734,11,463,9.28
1046,Haiti,CIP,Air,31-Mar-09,31-Mar-09,BRISTOL-MYERS SQUIBB,80,760,43,260,1.49
1047,Haiti,CIP,Air,31-Mar-09,31-Mar-09,BRISTOL-MYERS SQUIBB,32,402.88,,,0.79
1048,Haiti,FCA,Air,15-Apr-09,15-Apr-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),46,472.88,10,893.22,0.93
1063,South Africa,DDP,Air,31-Mar-09,02-Dec-08,S. BUYS WHOLESALER,3025,47522.75,,,93.14
1065,South Africa,DDP,Air,07-Apr-09,03-Dec-08,S. BUYS WHOLESALER,3500,49840,,,97.69
1066,South Africa,DDP,Air,07-Apr-09,03-Dec-08,S. BUYS WHOLESALER,1008,3588.48,,,7.03
1067,South Africa,DDP,Air,05-May-09,23-Dec-08,S. BUYS WHOLESALER,960,1152,,,2.26
1068,South Africa,DDP,Air,12-May-09,30-Dec-08,S. BUYS WHOLESALER,1800,10512,,,20.6
1070,South Africa,DDP,Air,31-Mar-09,21-Nov-08,S. BUYS WHOLESALER,1200,3384,,,6.63
1077,South Africa,DDP,Air,25-Jun-09,21-Apr-09,S. BUYS WHOLESALER,346,1954.9,,,3.83
1078,South Africa,DDP,Truck,25-Jun-09,05-Jun-09,S. BUYS WHOLESALER,5300,16642,,,32.62
1079,South Africa,DDP,Air,25-Jun-09,17-Jun-09,S. BUYS WHOLESALER,342,1932.3,,,3.79
1080,South Africa,DDP,Truck,19-Aug-09,19-Aug-09,S. BUYS WHOLESALER,2700,10665,,,20.9
1084,South Africa,DDP,Air,25-Jun-09,14-Apr-09,S. BUYS WHOLESALER,3735,134385.3,,,263.4
1085,South Africa,DDP,Air,25-Jun-09,29-Apr-09,S. BUYS WHOLESALER,6000,80640,,,158.05
1086,South Africa,DDP,Air,25-Jun-09,20-Apr-09,S. BUYS WHOLESALER,11672,35016,,,68.63
1095,Botswana,EXW,Air,13-Nov-09,13-Nov-09,Orasure Technologies Inc.,20,7000,48,1172.11,13.72
1109,CÙte d'Ivoire,FCA,Air,30-Jun-09,30-Jun-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),10240,420864,2523,14806.48,824.89
1110,CÙte d'Ivoire,FCA,Air,22-Jul-09,22-Jul-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),400,15344,175,7642.97,30.07
1111,South Africa,DDP,Truck,31-Jul-09,21-Apr-09,S. BUYS WHOLESALER,30,1080,,,2.12
1114,South Africa,DDP,Truck,15-May-09,17-Apr-09,S. BUYS WHOLESALER,80,2816,,,5.52
1115,South Africa,DDP,Truck,15-May-09,23-Apr-09,S. BUYS WHOLESALER,1000,19770,,3134.85,38.75
1122,Haiti,EXW,Air,16-Sep-09,16-Sep-09,Orasure Technologies Inc.,60,21000,144,3128.19,41.16
1134,Kenya,EXW,Air,10-Jul-09,10-Jul-09,"Orgenics, Ltd",7500,600000,2215,16835.31,1176
1140,Nigeria,EXW,Air,18-Aug-09,18-Aug-09,"Orgenics, Ltd",6395,511600,1915,24514.33,1002.74
1156,Rwanda,CIP,Air,25-Jul-09,25-Jul-09,HETERO LABS LIMITED,55356,386384.88,4482,37404.74,757.31
1162,CÙte d'Ivoire,EXW,Air,15-Sep-09,15-Sep-09,BIO-RAD LABORATORIES (FRANCE),1000,110000,1101,8074.03,215.6
1179,Vietnam,FCA,Air,17-Jul-09,17-Jul-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),8,613.76,48,3366.04,1.2
1183,Vietnam,EXW,Air,10-Jul-09,10-Jul-09,Aurobindo Pharma Limited,3500,39025,1804,6341.88,76.49
1196,Botswana,EXW,Air,12-Jun-09,10-Jul-09,Orasure Technologies Inc.,5,1750,12,684.42,3.43
1198,Namibia,EXW,Air,01-Sep-09,01-Sep-09,"Orgenics, Ltd",67,5025,48,401.97,9.85
1213,Vietnam,CIP,Air,28-Jul-09,28-Jul-09,BRISTOL-MYERS SQUIBB,400,2800,148,14.36,5.49
1215,Namibia,EXW,Air,29-Jun-09,29-Jun-09,"Trinity Biotech, Plc",220,7040,79,1736.18,13.8
1221,South Africa,DDP,Truck,28-Jul-09,28-Jul-09,S. BUYS WHOLESALER,50,490,,,0.96
1222,South Africa,DDP,Truck,12-Oct-09,05-Aug-09,S. BUYS WHOLESALER,5000,41300,,,80.95
1223,South Africa,DDP,Truck,12-Oct-09,28-Jul-09,S. BUYS WHOLESALER,460,2838.2,,,5.56
1245,CÙte d'Ivoire,EXW,Air,27-Jun-06,27-Jun-06,BIO-RAD LABORATORIES (FRANCE),147,11076.45,165,1816.57,
1246,CÙte d'Ivoire,EXW,Air,14-Jul-06,14-Jul-06,Orasure Technologies Inc.,6,2400,15,1039.5,
1251,Vietnam,CIP,Air,16-Nov-06,16-Nov-06,BRISTOL-MYERS SQUIBB,2800,19600,555,3292.15,
1262,Haiti,EXW,Air,09-Nov-06,09-Nov-06,Orasure Technologies Inc.,15,6000,36,1195.29,
